question,response_j,response_k,id_lst
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {통하다,펼치다,유려하다,이야기,사랑,영화}
1. 그의 유려한 춤사위가 사랑을 표현하고 있다.
2. 영화를 통한 사랑 이야기를 보다 유려하게 펼쳐 낸다.
3. 이 영화는 사랑 이야기를 펼치지만 잊혀진다.
4. 유려한 문체로 쓰인 이야기는 많은 사랑을 받는다.",2. 영화를 통한 사랑 이야기를 보다 유려하게 펼쳐 낸다.,4. 유려한 문체로 쓰인 이야기는 많은 사랑을 받는다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {그,연기,사람,찬사,받다}
1. 그 사람은 연기를 전혀 하지 못한다.
2. 연기가 실력이 좋은 배우가 받는 찬사는 많다.
3. 배우인 그의 연기는 모든 사람의 찬사를 받았다.
4. 찬사를 받는 것은 늘 기분 좋은 일이다.",3. 배우인 그의 연기는 모든 사람의 찬사를 받았다.,1. 그 사람은 연기를 전혀 하지 못한다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {풀,구부리다,앉다,농부,베다}
1. 농부가 씨앗을 풀에 심었다.
2. 농부가 구부리고 앉아 밭에서 풀을 베고 있다.
3. 어린아이가 구부리다가 넘어졌다.
4. 바쁜 하루 후에 사람들은 풀밭에 앉아 쉬었다.",2. 농부가 구부리고 앉아 밭에서 풀을 베고 있다.,1. 농부가 씨앗을 풀에 심었다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {통신,발생하다,두절,가능성,있다}
1. 네트워크에 문제가 발생하다.
2. 통신 장비를 업데이트하는 것이 가능성 있어 보인다.
3. 두절된 도로로 인해 교통이 혼잡하다.
4. 통신 분쟁이 발생할 가능성이 있어 보인다.",4. 통신 분쟁이 발생할 가능성이 있어 보인다.,3. 두절된 도로로 인해 교통이 혼잡하다.,Kocommon_Gen
"어항을 햇빛 아래에 오래 두었다.
     다음 결과에 적절한 답은 무엇일까요?",어항에 녹조가 생겼다.,어항 물이 깨끗해졌다.,Hellaswag
"물에서 나왔는데, 마스카라가 지워지지 않았다.
     다음 원인에 적절한 답은 무엇일까요?",마스카라가 워터프루프이다.,마스카라가 워터프루프가 아니다.,Hellaswag
"여자는 창문을 깨고 뛰어내렸다.
     다음 원인에 적절한 답은 무엇일까요?",화재로 인해 출입문이 열리지 않았다.,화재로 인해 출입문이 모두 개방되었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {회사,모르다,대하다,상황,경제적}
1. 회사의 현재 경제적 상황에 대해 전혀 모른다.
2. 상황을 대하는 태도는 중요하다.
3. 경제적 상황은 회사의 성장에 영향을 준다.
4. 모르다가 문제를 해결하는 데 장애가 될 수 있다.",1. 회사의 현재 경제적 상황에 대해 전혀 모른다.,3. 경제적 상황은 회사의 성장에 영향을 준다.,Kocommon_Gen
"남성의 운동화 끈이 풀렸다.
     다음 결과에 적절한 답은 무엇일까요?",남성이 가던 길을 멈춘다.,남성이 뛰기 시작한다.,Hellaswag
"여자가 초대장을 보냈다.
     다음 원인에 적절한 답은 무엇일까요?",여자는 파티를 주최했다.,여자는 파티에 참석하지 않았다.,Hellaswag
"시계종이 세 번 울렸다.
     다음 원인에 적절한 답은 무엇일까요?",세 시가 되었다.,일곱 시가 되었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {마스크,쓰다,얼굴}
1. 마스크를 벗기 전에 손을 깨끗이 씻어야 해.
2. 얼굴에 마스크를 쓰면 안색이 어두워진다.
3. 그녀의 얼굴은 매우 아름답다.
4. 나는 마스크를 가지고 다닌다.",2. 얼굴에 마스크를 쓰면 안색이 어두워진다.,3. 그녀의 얼굴은 매우 아름답다.,Kocommon_Gen
"여자는 올바른 자세로 앉지 않았다.
     다음 결과에 적절한 답은 무엇일까요?",여자는 척추측만증에 걸렸다.,여자의 척추는 곧았다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {먹다,팔딱거리다,쓰다,용,물속,고기,미끼}
1. 미끼를 쓴 고기는 물속에서 용을 쓰며 계속 팔딱거린다.
2. 물속에서 미끼를 먹고 있는 고기를 발견했다.
3. 물속에서 용이 나타났다는 이야기를 들었다.
4. 팔딱거리는 물고기를 잡으려고 미끼를 썼다.",1. 미끼를 쓴 고기는 물속에서 용을 쓰며 계속 팔딱거린다.,2. 물속에서 미끼를 먹고 있는 고기를 발견했다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {잠기다,물,집,되다,물바다,호우,집중}
1. 도시가 물에 잠기는 사건이 되풀이되었다.
2. 호우 때문에 많은 집이 물에 잠겼다.
3. 집중 호우로 물바다 되면서 집이 전부 물에 잠겼다.
4. 집중 호우로 인해 물바다가 되었다.",3. 집중 호우로 물바다 되면서 집이 전부 물에 잠겼다.,2. 호우 때문에 많은 집이 물에 잠겼다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {차다,나,조카,다니다,기저귀}
1. 기저귀는 아기들이 사용하는 제품이다.
2. 내 조카는 항상 기저귀를 차고 다닌다.
3. 차를 다니며 큰 도로를 만났다.
4. 나는 조카와 공원에 가서 놀았다.",2. 내 조카는 항상 기저귀를 차고 다닌다.,4. 나는 조카와 공원에 가서 놀았다.,Kocommon_Gen
"휴대폰 액정이 깨졌다.
     다음 원인에 적절한 답은 무엇일까요?",휴대폰을 시멘트 바닥에 떨어트렸다.,휴대폰을 침대에 떨어트렸다.,Hellaswag
"엄마가 아이의 머리를 빗겼다.
     다음 결과에 적절한 답은 무엇일까요?",아이의 머리가 정돈되었다.,아이의 머리가 산발이 되었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {언니,패션,잡지,모델,옷,입다,실리다}
1. 잡지에 실린 옷이 너무 예뻐.
2. 언니가 패션잡지를 보고 있다.
3. 모델이 되고 싶어서 옷을 새로 샀어.
4. 언니는 패션 잡지에 실린 모델처럼 화려한 옷을 입었다.",4. 언니는 패션 잡지에 실린 모델처럼 화려한 옷을 입었다.,1. 잡지에 실린 옷이 너무 예뻐.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {안정되다,직장,청년들,좋아하다}
1. 많은 사람들이 안정된 삶을 좋아합니다.
2. 안정되다 못해 지루해하는 사람들도 있습니다.
3. 청년들은 정년이 보장되는 안정된 직장을 좋아한다.
4. 청년들은 직장을 찾는 것이 쉽지 않아요.",3. 청년들은 정년이 보장되는 안정된 직장을 좋아한다.,4. 청년들은 직장을 찾는 것이 쉽지 않아요.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {사귀다,헤어지다,친구,여자,남자}
1. 여자 친구가 많은 남자.
2. 친구와 헤어질 때가 가장 슬프다.
3. 저 남자는 그동안 오래 사귄 여자 친구와 헤어졌다.
4. 남자와 여자가 사귀면 좋은 친구가 될 수 있다.",3. 저 남자는 그동안 오래 사귄 여자 친구와 헤어졌다.,2. 친구와 헤어질 때가 가장 슬프다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {교육,마치다,요양,보호사,자격증,받다}
1. 자격증을 받으려면 여러 과정을 거쳐야 한다.
2. 요양 보호사를 위한 자격증 시험이 열린다.
3. 자격증을 취득하기 위해 교육을 마치고 요양 보호사 자격증을 받았다.
4. 보호사가 되기 위해서는 교육을 마쳐야 한다.",3. 자격증을 취득하기 위해 교육을 마치고 요양 보호사 자격증을 받았다.,1. 자격증을 받으려면 여러 과정을 거쳐야 한다.,Kocommon_Gen
"누군가 남자의 머리를 내리쳤다.
     다음 결과에 적절한 답은 무엇일까요?",남자가 의식을 잃었다.,남자가 머리에 모자를 썼다.,Hellaswag
"알로에젤을 햇빛에 탄 얼굴에 발랐다.
     다음 결과에 적절한 답은 무엇일까요?",햇빛에 탄 얼굴 피부가 진정된다.,얼굴 피부가 검어진다.,Hellaswag
"참가자는 심사위원에게 혹평을 들었다.
     다음 원인에 적절한 답은 무엇일까요?",참가자는 시간 안에 음식을 만들지 못했다.,참가자는 시간 안에 완벽한 음식을 만들었다.,Hellaswag
"벨소리가 울리지 않는다.
     다음 원인에 적절한 답은 무엇일까요?",휴대폰 벨소리를 무음으로 바꿔두었다.,휴대폰 벨소리를 최대 음량으로 키워두었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {싸우다,상태,이들,술,취하다}
1. 이들은 술을 많이 마셔서 상태가 좋지 않다.
2. 술을 마시고 깨어난 그의 상태는 최악이었다.
3. 이들은 술에 취한 상태에서 주먹으로 치고받으며 싸웠다.
4. 싸우다 지치면 정신이 맑아진다.",3. 이들은 술에 취한 상태에서 주먹으로 치고받으며 싸웠다.,4. 싸우다 지치면 정신이 맑아진다.,Kocommon_Gen
"여자에게 전화가 왔다.
     다음 결과에 적절한 답은 무엇일까요?",여자가 통화한다.,여자가 요리한다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {펼치다,봉사,활동,결연,어버이,구호,이재민}
1. 결연을 맺은 어버이들이 모여 기념행사를 가졌다.
2. 이번 구호 활동은 매우 성공적이었다.
3. 많은 사람들이 봉사 활동에 참여했습니다.
4. 이재민 구호 활동으로 어버이 결연 활동 봉사를 직접 펼쳤다.",4. 이재민 구호 활동으로 어버이 결연 활동 봉사를 직접 펼쳤다.,2. 이번 구호 활동은 매우 성공적이었다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {할머니,음식,이상,씹다}
1. 할머니가 만들어주신 음식은 늘 맛있다.
2. 할머니는 이빨 때문에 더 이상 음식을 씹을 수 없다.
3. 할머니는 건강한 음식을 즐겨 드신다.
4. 이상한 소리를 들으며 씹는 게 불편했다.",2. 할머니는 이빨 때문에 더 이상 음식을 씹을 수 없다.,1. 할머니가 만들어주신 음식은 늘 맛있다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {하다,복잡하다,묵상,때,속}
1. 복잡한 생각이 머릿속에서 사라지지 않는다.
2. 그는 복잡한 문제를 해결하는 데 능하다.
3. 묵상을 하다 보면 시간이 빠르게 지나간다.
4. 속이 복잡할 때에는 조용히 묵상을 해야 한다.",4. 속이 복잡할 때에는 조용히 묵상을 해야 한다.,1. 복잡한 생각이 머릿속에서 사라지지 않는다.,Kocommon_Gen
"배가 가라앉았다.
     다음 원인에 적절한 답은 무엇일까요?",암초에 부딪혔다.,선착장에 도착했다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {조선,소식,시대,올리다,전달하다,봉화}
1. 봉화는 고대 시대부터 중요한 전달 수단으로 사용되었다.
2. 조선 시대에 소식을 전달하는 일은 매우 중요했다.
3. 조선 시대에 봉화를 사용하여 긴급한 메시지를 올리곤 했다.
4. 조선 시대에는 종종 봉화를 올려 소식을 즉각 전달했다.",4. 조선 시대에는 종종 봉화를 올려 소식을 즉각 전달했다.,3. 조선 시대에 봉화를 사용하여 긴급한 메시지를 올리곤 했다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {아픔들,그늘지다,숨다,속,행복,그}
1. 사람들은 자신의 아픔을 가리기 위해 때로 그 속에 숨는다.
2. 행복이란 때때로 그늘이 있기에 더욱 빛난다.
3. 그늘이 짙게 드리웠을 때, 우리는 그 속에서 숨을 쉰다.
4. 그의 행복 속에는 그늘진 아픔들이 항상 숨어 있었다.",4. 그의 행복 속에는 그늘진 아픔들이 항상 숨어 있었다.,"3. 그늘이 짙게 드리웠을 때, 우리는 그 속에서 숨을 쉰다.",Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {처음,이름,듣다}
1. 이 이름은 태어나서 처음 들어 본 이름이다.
2. 처음 보는 사람과 대화를 나누었다.
3. 그녀는 새로운 음악을 듣고 기뻐했다.
4. 이름을 부르자 그가 귀를 기울였다.",1. 이 이름은 태어나서 처음 들어 본 이름이다.,2. 처음 보는 사람과 대화를 나누었다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {나가다,거리,마치다,대화,후보,김}
1. 김밥을 먹고 나가다가 비를 만났다.
2. 거리를 걷다가 친구를 만났다.
3. 그는 대화가 잘 통하는 후보였다.
4. 김 후보는 직원들과 대화를 마치고 거리로 나갔다.",4. 김 후보는 직원들과 대화를 마치고 거리로 나갔다.,2. 거리를 걷다가 친구를 만났다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {포기하다,국전,심술,그}
1. 국전에서 만난 그 작품은 잊을 수 없다.
2. 그의 심술 때문에 국전을 포기할 수밖에 없었다.
3. 포기하다는 때론 지혜로운 선택일 수 있다.
4. 그 사람은 정말 심술궂게 행동한다.",2. 그의 심술 때문에 국전을 포기할 수밖에 없었다.,3. 포기하다는 때론 지혜로운 선택일 수 있다.,Kocommon_Gen
"돋보기로 사전을 보았다.
     다음 결과에 적절한 답은 무엇일까요?",단어가 크게 보인다.,단어가 작게 보인다.,Hellaswag
"교회의 종이 여섯 번 울렸다.
     다음 원인에 적절한 답은 무엇일까요?",여섯 시가 되었다.,세 시가 되었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {아버지,회식,술,들다}
1. 술이 든 음료를 좋아합니다.
2. 어제 회식이 있었다.
3. 우리 아버지는 회식에서 술을 한 모금도 안 드셨다.
4. 아버지가 술을 많이 드셨다.",3. 우리 아버지는 회식에서 술을 한 모금도 안 드셨다.,2. 어제 회식이 있었다.,Kocommon_Gen
"눈이 계속해서 간지러웠다.
     다음 결과에 적절한 답은 무엇일까요?",안과를 갔다.,치과를 갔다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {좋다,성격,사람}
1. 저 사람은 걸핏하면 싸워 성격이 별로 좋지 않다.
2. 성격이 나쁜 사람은 친구가 없다.
3. 이 성격 테스트는 정확도가 높다.
4. 그 사람은 항상 미소를 잃지 않는다.",1. 저 사람은 걸핏하면 싸워 성격이 별로 좋지 않다.,4. 그 사람은 항상 미소를 잃지 않는다.,Kocommon_Gen
"코에 검은 코딱지가 잔뜩 생겼다.
     다음 원인에 적절한 답은 무엇일까요?",미세먼지 농도가 짙은 바깥에 나갔다 왔다.,미세먼지 농도가 옅은 바깥에 나갔다 왔다.,Hellaswag
"여자가 5시간 동안 자전거를 탔다.
     다음 결과에 적절한 답은 무엇일까요?",여자는 다리가 아프다.,여자는 머리가 아프다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {농부들,쌓다,가을,곡식,분주하다}
1. 가을이 되자 농부들은 곡식을 쌓느라 분주했다.
2. 가을에 농부들은 곡식을 수확한다.
3. 분주하다는 말은 바쁘다는 의미이다.
4. 쌓다란 단어는 무언가를 쌓아 올릴 때 사용된다.",1. 가을이 되자 농부들은 곡식을 쌓느라 분주했다.,2. 가을에 농부들은 곡식을 수확한다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {앞서가다,보이다,기차,뿜다,연기}
1. 기차가 역을 떠나고 있다.
2. 연기가 하늘 높이 솟구친다.
3. 그가 멀리서 보인다.
4. 연기를 연신 뿜으며 앞서가는 기차가 보였다.",4. 연기를 연신 뿜으며 앞서가는 기차가 보였다.,3. 그가 멀리서 보인다.,Kocommon_Gen
"일주일 내내 폭우가 왔다.
     다음 결과에 적절한 답은 무엇일까요?",강이 범람하고 홍수가 났다.,가뭄이 들어서 강이 메말랐다.,Hellaswag
"상수도관이 노후되었다.
     다음 결과에 적절한 답은 무엇일까요?",녹물이 나왔다.,깨끗한 물이 나왔다.,Hellaswag
"여자는 공직에 출마하기로 결정했다.
     다음 결과에 적절한 답은 무엇일까요?",여자가 선거캠프 관리자를 고용했다.,여자가 선거캠프 관리직을 맡았다.,Hellaswag
"횡단보도의 신호등이 파란 불로 바뀌었다.
     다음 결과에 적절한 답은 무엇일까요?",사람들이 길을 건너기 시작했다.,사람들이 길을 건너지 않는다.,Hellaswag
"해외 출장이 예정되었다.
     다음 결과에 적절한 답은 무엇일까요?",비행기를 탔다.,보름달이 떴다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {너그럽다,있다,여유,김두만,처남}
1. 처남이 직장에서 승진을 했다.
2. 너그러운 사람은 경쟁에서 뒤처질 수 있다.
3. 그는 처남인 김두만보다는 여유가 있고 너그러운 편이다.
4. 김두만은 여유 있는 삶을 살고 있다.",3. 그는 처남인 김두만보다는 여유가 있고 너그러운 편이다.,4. 김두만은 여유 있는 삶을 살고 있다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {제시하다,새롭다,떨어지다,수익,전략,판매}
1. 최근 수익이 급격히 떨어지자 새로운 판매 전략을 제시했다.
2. 새로운 전략을 개발해야 한다.
3. 수익이 떨어지는 문제를 해결해야 한다.
4. 판매 수익이 증가했다.",1. 최근 수익이 급격히 떨어지자 새로운 판매 전략을 제시했다.,3. 수익이 떨어지는 문제를 해결해야 한다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {종합,전환,검토하다,일간지}
1. 전환기의 회사는 종합적인 전략이 필요하다.
2. 일간지의 기사는 매일 업데이트된다.
3. 정부에서는 종합 일간지의 전환을 검토하고 있다..
4. 정책을 검토하다 새로운 방향을 모색했다.",3. 정부에서는 종합 일간지의 전환을 검토하고 있다..,1. 전환기의 회사는 종합적인 전략이 필요하다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {골목,아이들,술래잡기,하다}
1. 아이들은 골목에서 뛰어논다.
2. 아이들이 골목에서 술래잡기를 하며 놀고 있었다.
3. 학교에서 아이들이 술래잡기를 한다.
4. 술래잡기는 인기 있는 놀이다.",2. 아이들이 골목에서 술래잡기를 하며 놀고 있었다.,3. 학교에서 아이들이 술래잡기를 한다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {우리,차,안,기자,회견,라디오,청취하다}
1. 라디오 청취는 운전 중에 즐겨하는 활동이다.
2. 우리는 차 안에서 이번 기자 회견을 라디오로 청취했다.
3. 기자는 차 안에서 라디오를 듣는다.
4. 우리는 오늘 회견에서 기자를 만날 예정이다.",2. 우리는 차 안에서 이번 기자 회견을 라디오로 청취했다.,3. 기자는 차 안에서 라디오를 듣는다.,Kocommon_Gen
"엑스레이를 찍었다.
     다음 원인에 적절한 답은 무엇일까요?",뼈가 부러졌다.,적절한 치료를 받는다.,Hellaswag
"집주인은 옆집 사람들을 싫어한다.
     다음 결과에 적절한 답은 무엇일까요?",옆집과 집 사이에 울타리를 놓는다.,옆집 사람들을 불러 바베큐파티를 한다.,Hellaswag
"여자가 가지고 있던 옷이 커졌다.
     다음 원인에 적절한 답은 무엇일까요?",여자가 살을 뺐다.,여자의 덩치가 커졌다.,Hellaswag
"그가 고기를 능숙하게 손질했다.
     다음 원인에 적절한 답은 무엇일까요?",그는 요리사이다.,그는 요리를 처음 해본다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {시원하다,흐르다,물,계곡,산골짜기}
1. 물이 맑고 차가운 계곡을 걸었다.
2. 산골짜기에 있는 계곡에는 아주 시원한 물이 흐르고 있다.
3. 계곡에는 시원한 물이 흐른다.
4. 산골짜기에서 흐르는 냇물이 시원하다.",2. 산골짜기에 있는 계곡에는 아주 시원한 물이 흐르고 있다.,3. 계곡에는 시원한 물이 흐른다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {마땅하다,벌다,돈,일감,요즘}
1. 그는 요즘 마땅한 일감이 없어서 돈을 못 벌고 있다.
2. 그는 일을 통해 충분한 돈을 벌고 있다.
3. 요즘 경제 상황이 좋지 않아 마땅한 일자리 찾기가 힘들다.
4. 일감이 줄어들면서 많은 사람들이 돈을 벌기 어렵다.",1. 그는 요즘 마땅한 일감이 없어서 돈을 못 벌고 있다.,3. 요즘 경제 상황이 좋지 않아 마땅한 일자리 찾기가 힘들다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {건축,일어나다,앞,학교,유흥업소,골목,시위}
1. 그 건축물은 이골목에 잘 어울리지 않는다.
2. 학교 근처에는 유흥업소가 자리잡고 있다.
3. 시위가 일어나자 사람들이 앞으로 모여들었다.
4. 학교 앞 골목에 유흥업소 건축을 반대하는 시위가 매일같이 일어났다.",4. 학교 앞 골목에 유흥업소 건축을 반대하는 시위가 매일같이 일어났다.,3. 시위가 일어나자 사람들이 앞으로 모여들었다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {시절,되돌아오다,젊다}
1. 되돌아오다는 것은 종종 어려운 일이다.
2. 추억이 깃들어있던 젊은 시절로 되돌아왔다.
3. 시절의 변화는 누구에게나 영향을 미친다.
4. 젊은이들은 새로운 시대의 주역이다.",2. 추억이 깃들어있던 젊은 시절로 되돌아왔다.,3. 시절의 변화는 누구에게나 영향을 미친다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {나아지다,보이다,극심하다,보이다,기미,경기,침체}
1. 극심한 침체를 보이던 경기가 그나마 서서히 나아지는 기미가 보인다.
2. 극심한 경제문제가 계속되고 있다.
3. 최근 침체된 경기가 나아질 조짐이 없어 보인다.
4. 경기가 조금 나아지는 기미가 보인다.",1. 극심한 침체를 보이던 경기가 그나마 서서히 나아지는 기미가 보인다.,4. 경기가 조금 나아지는 기미가 보인다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {납품,틈,공장,날짜,맞추다,없다,쉬다}
1. 날짜가 없으니 일정을 쉽게 맞추기 어렵다.
2. 공장은 납품 날짜를 맞추느라 하루도 쉴 틈이 없다.
3. 납품을 위한 준비가 없다고 한다.
4. 그 공장은 날짜를 맞추는 데 실패했다.",2. 공장은 납품 날짜를 맞추느라 하루도 쉴 틈이 없다.,3. 납품을 위한 준비가 없다고 한다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {붉다,새파랗다,내밀다,고개,동백꽃,사이,잎}
1. 새파란 잎 사이로 붉은 동백꽃이 하나둘 고개를 쑥 내민다.
2. 동백꽃이 붉게 피어있다.
3. 나무 사이에서 고개를 내밀다.
4. 새파란 하늘 아래서 잎이 내밀다.",1. 새파란 잎 사이로 붉은 동백꽃이 하나둘 고개를 쑥 내민다.,4. 새파란 하늘 아래서 잎이 내밀다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {하다,체조,나가다,앞마당,아침,아버지}
1. 아침에 앞마당을 청소했다.
2. 운동을 좋아하는 아버지는 아침마다 앞마당에 나가 체조를 하신다.
3. 아버지는 아침에 체조를 하신다.
4. 체조를 하고 나서 일을 시작하기 좋다.",2. 운동을 좋아하는 아버지는 아침마다 앞마당에 나가 체조를 하신다.,4. 체조를 하고 나서 일을 시작하기 좋다.,Kocommon_Gen
"사탕을 떨어뜨렸다.
     다음 결과에 적절한 답은 무엇일까요?",사탕이 깨졌다.,사탕이 녹았다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {들어서다,아파트,자체,고밀화되다}
1. 자체적으로 문제를 해결할 수 있어야 한다.
2. 세대수가 많은 아파트 등이 들어서면 단지 자체도 고밀화된다.
3. 넓은 들판에 들어서서 숨을 깊게 들이마셨다.
4. 아파트의 시설이 낡아서 보수가 필요하다.",2. 세대수가 많은 아파트 등이 들어서면 단지 자체도 고밀화된다.,4. 아파트의 시설이 낡아서 보수가 필요하다.,Kocommon_Gen
"자고 일어났더니, 남자의 허리가 배겼다.
     다음 결과에 적절한 답은 무엇일까요?",남자가 침대 매트리스를 새로 샀다.,남자가 침대 시트를 새로 샀다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {좋아하다,가다,시간,웃다,저희끼리}
1. 저희끼리 시간을 보내며 웃었어요.
2. 시간이 필요해, 저는 가다가 생각해볼게요.
3. 시간이 지나면 저절로 좋아하게 될 거예요.
4. 저희끼리 서로 잘 웃어서 시간 가는 줄도 모르고 좋아했다.",4. 저희끼리 서로 잘 웃어서 시간 가는 줄도 모르고 좋아했다.,"2. 시간이 필요해, 저는 가다가 생각해볼게요.",Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {사회,법,개정되다,복지,발전하다}
1. 발전하는 기술은 사회에 큰 영향을 미친다.
2. 법이 개정되어 사회의 복지 혜택이 늘었다.
3. 법이 개정되면서 사회 복지가 조금 더 발전했다.
4. 개정된 법은 많은 복지 문제를 해결했다.",3. 법이 개정되면서 사회 복지가 조금 더 발전했다.,4. 개정된 법은 많은 복지 문제를 해결했다.,Kocommon_Gen
"주전자 안의 물이 끓기 시작했다.
     다음 원인에 적절한 답은 무엇일까요?",주전자 안의 물이 100도가 되었다.,주전자 안의 물이 기체가 되었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {각자,고향,돌아가다,그들}
1. 그들은 여름휴가를 고향에서 보내기로 했다.
2. 고향에 대한 그리움이 점점 커져간다.
3. 그들은 어쩔 수 없이 각자의 고향으로 돌아갔다.
4. 각자의 일이 바빠서 돌아가다를 연기했다.",3. 그들은 어쩔 수 없이 각자의 고향으로 돌아갔다.,2. 고향에 대한 그리움이 점점 커져간다.,Kocommon_Gen
